id,Timestamp,Category,Money,Description,Details
435027854,2021-09-22T01:24:06.483256+00:00,contract,-113000,Sub-orbital rocket contract from SadMad Co,"{""quantity"": ""1"", ""quality"": 4, ""price"": ""$113000.000""}"
435027846,2021-09-22T01:24:05.302821+00:00,contract,-113000,Sub-orbital rocket contract from SadMad Co,"{""quantity"": ""1"", ""quality"": 4, ""price"": ""$113000.000""}"
435027836,2021-09-22T01:24:04.374599+00:00,contract,-113000,Sub-orbital rocket contract from SadMad Co,"{""quantity"": ""1"", ""quality"": 4, ""price"": ""$113000.000""}"
435027829,2021-09-22T01:24:03.753690+00:00,contract,-113000,Sub-orbital rocket contract from SadMad Co,"{""quantity"": ""1"", ""quality"": 4, ""price"": ""$113000.000""}"
435027819,2021-09-22T01:24:03.214903+00:00,contract,-113000,Sub-orbital rocket contract from SadMad Co,"{""quantity"": ""1"", ""quality"": 4, ""price"": ""$113000.000""}"
435027809,2021-09-22T01:24:02.670815+00:00,contract,-113000,Sub-orbital rocket contract from SadMad Co,"{""quantity"": ""1"", ""quality"": 4, ""price"": ""$113000.000""}"
435019775,2021-09-22T01:03:06.243289+00:00,market,-312620,Bought Electronics research on market,"{""amount"": 770, ""price"": ""$406.00"", ""seller(s)"": ""SEMIHCAKAN""}"
435019701,2021-09-22T01:02:55.112974+00:00,market,-101404,Bought Electronics research on market,"{""amount"": 251, ""price"": ""$404.00"", ""seller(s)"": ""Satanas, Frites World Company""}"
435019682,2021-09-22T01:02:51.412374+00:00,market,-70700,Bought Electronics research on market,"{""amount"": 175, ""price"": ""$404.00"", ""seller(s)"": ""Hazars Riset Teknologi, Blue Hound""}"
435019657,2021-09-22T01:02:46.799615+00:00,market,-60306,Bought Electronics research on market,"{""amount"": 150, ""price"": ""$402.04"", ""seller(s)"": ""Frites World Company, Flying Merchant, Ethan Petroleum and Electronics, SolidRock Investing""}"
435019542,2021-09-22T01:02:30.469724+00:00,market,-1822494,Bought Electronics research on market,"{""amount"": 4557, ""price"": ""$399.93"", ""seller(s)"": ""Thigh Master, PowerHouse LTD, Why So Serious""}"
435016090,2021-09-22T00:52:17.614594+00:00,sales,-31548,Looking for aerospace contracts,{}
435016084,2021-09-22T00:52:16.450698+00:00,sales,-31548,Looking for aerospace contracts,{}
435016076,2021-09-22T00:52:14.693427+00:00,sales,867863,Sales order fulfilled,"{""COGS"": ""$824,867"", ""items"": ""$788,251"", ""quality bonus"": ""$79,612"", ""search cost"": ""$31,442"", ""profit"": ""$11,553""}"
435016066,2021-09-22T00:52:12.404149+00:00,sales,658947,Sales order fulfilled,"{""COGS"": ""$573,639"", ""items"": ""$622,824"", ""quality bonus"": ""$36,123"", ""search cost"": ""$31,442"", ""profit"": ""$53,865""}"
435016016,2021-09-22T00:52:04.046387+00:00,sales,-31548,Looking for aerospace contracts,{}
435016004,2021-09-22T00:52:02.283178+00:00,sales,3752016,Sales order fulfilled,"{""COGS"": ""$3,456,326"", ""items"": ""$3,608,926"", ""quality bonus"": ""$143,090"", ""search cost"": ""$31,442"", ""profit"": ""$264,247""}"
